,id,name,type,capital,population,citizens,nr_quartiers,quartiers,net_production_burg,area_requirements_burg
0,1,Parabriz,Generic,1,25742,"{'Farmer': 11192, 'Fisherman': 1119, 'Hunter': 1119, 'Craftsman': 4477, 'Tradesman': 3358, 'Churchman': 0, 'Clerk': 2238, 'Soldier': 2238}",28,"{'Farmer': 13, 'Fisherman': 1, 'Hunter': 1, 'Craftsman': 5, 'Tradesman': 4, 'Churchman': 0, 'Clerk': 2, 'Soldier': 2}","{'Net_Food': 2.5, 'Net_Gold': 5.75}","{'Farmland_to_Feed_Burg_ha_Min': 25742, 'Farmland_to_Feed_Burg_ha_Max': 51484, 'Urban_Area_Burg_ha_Min': 64, 'Urban_Area_Burg_ha_Max': 129}"
1,2,Fasasan,Naval,1,12568,"{'Farmer': 2793, 'Fisherman': 3258, 'Hunter': 465, 'Craftsman': 1862, 'Tradesman': 2327, 'Churchman': 0, 'Clerk': 931, 'Soldier': 931}",13,"{'Farmer': 3, 'Fisherman': 4, 'Hunter': 0, 'Craftsman': 2, 'Tradesman': 2, 'Churchman': 0, 'Clerk': 1, 'Soldier': 1}","{'Net_Food': 5.0, 'Net_Gold': 2.5}","{'Farmland_to_Feed_Burg_ha_Min': 12568, 'Farmland_to_Feed_Burg_ha_Max': 25136, 'Urban_Area_Burg_ha_Min': 31, 'Urban_Area_Burg_ha_Max': 63}"
2,3,Shah,Generic,1,10081,"{'Farmer': 4383, 'Fisherman': 438, 'Hunter': 438, 'Craftsman': 1753, 'Tradesman': 1315, 'Churchman': 0, 'Clerk': 877, 'Soldier': 877}",10,"{'Farmer': 5, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 2, 'Tradesman': 1, 'Churchman': 0, 'Clerk': 1, 'Soldier': 1}","{'Net_Food': 0.0, 'Net_Gold': 1.0}","{'Farmland_to_Feed_Burg_ha_Min': 10081, 'Farmland_to_Feed_Burg_ha_Max': 20162, 'Urban_Area_Burg_ha_Min': 25, 'Urban_Area_Burg_ha_Max': 50}"
3,4,Narififi,Generic,1,15541,"{'Farmer': 6757, 'Fisherman': 676, 'Hunter': 676, 'Craftsman': 2703, 'Tradesman': 2027, 'Churchman': 0, 'Clerk': 1351, 'Soldier': 1351}",15,"{'Farmer': 8, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 3, 'Tradesman': 2, 'Churchman': 0, 'Clerk': 1, 'Soldier': 1}","{'Net_Food': 1.0, 'Net_Gold': 3.25}","{'Farmland_to_Feed_Burg_ha_Min': 15541, 'Farmland_to_Feed_Burg_ha_Max': 31082, 'Urban_Area_Burg_ha_Min': 39, 'Urban_Area_Burg_ha_Max': 78}"
4,5,Dastgerd,Generic,1,15263,"{'Farmer': 6636, 'Fisherman': 664, 'Hunter': 664, 'Craftsman': 2654, 'Tradesman': 1991, 'Churchman': 0, 'Clerk': 1327, 'Soldier': 1327}",15,"{'Farmer': 8, 'Fisherman': 0, 'Hunter': 0, 'Craftsman': 3, 'Tradesman': 2, 'Churchman': 0, 'Clerk': 1, 'Soldier': 1}","{'Net_Food': 1.0, 'Net_Gold': 3.25}","{'Farmland_to_Feed_Burg_ha_Min': 15263, 'Farmland_to_Feed_Burg_ha_Max': 30526, 'Urban_Area_Burg_ha_Min': 38, 'Urban_Area_Burg_ha_Max': 76}"
5,6,Oitsa,Naval,1,9057,"{'Farmer': 2013, 'Fisherman': 2348, 'Hunter': 335, 'Craftsman': 1342, 'Tradesman': 1677, 'Churchman': 0, 'Clerk': 671, 'Soldier': 671}",7,"{'Farmer': 2, 'Fisherman': 2, 'Hunter': 0, 'Craftsman': 1, 'Tradesman': 2, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 3.0, 'Net_Gold': 3.75}","{'Farmland_to_Feed_Burg_ha_Min': 9057, 'Farmland_to_Feed_Burg_ha_Max': 18114, 'Urban_Area_Burg_ha_Min': 23, 'Urban_Area_Burg_ha_Max': 45}"
6,7,Golanag,Naval,1,4710,"{'Farmer': 1047, 'Fisherman': 1221, 'Hunter': 174, 'Craftsman': 698, 'Tradesman': 872, 'Churchman': 0, 'Clerk': 349, 'Soldier': 349}",3,"{'Farmer': 1, 'Fisherman': 1, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 1, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 2.0, 'Net_Gold': 1.5}","{'Farmland_to_Feed_Burg_ha_Min': 4710, 'Farmland_to_Feed_Burg_ha_Max': 9420, 'Urban_Area_Burg_ha_Min': 12, 'Urban_Area_Burg_ha_Max': 24}"
7,8,Sapala,Naval,1,38421,"{'Farmer': 8538, 'Fisherman': 9961, 'Hunter': 1423, 'Craftsman': 5692, 'Tradesman': 7115, 'Churchman': 0, 'Clerk': 2846, 'Soldier': 2846}",44,"{'Farmer': 10, 'Fisherman': 12, 'Hunter': 1, 'Craftsman': 7, 'Tradesman': 8, 'Churchman': 0, 'Clerk': 3, 'Soldier': 3}","{'Net_Food': 13.5, 'Net_Gold': 11.25}","{'Farmland_to_Feed_Burg_ha_Min': 38421, 'Farmland_to_Feed_Burg_ha_Max': 76842, 'Urban_Area_Burg_ha_Min': 96, 'Urban_Area_Burg_ha_Max': 192}"
8,9,Boviataci,Naval,1,4515,"{'Farmer': 1003, 'Fisherman': 1171, 'Hunter': 167, 'Craftsman': 669, 'Tradesman': 836, 'Churchman': 0, 'Clerk': 334, 'Soldier': 334}",3,"{'Farmer': 1, 'Fisherman': 1, 'Hunter': 0, 'Craftsman': 0, 'Tradesman': 1, 'Churchman': 0, 'Clerk': 0, 'Soldier': 0}","{'Net_Food': 2.0, 'Net_Gold': 1.5}","{'Farmland_to_Feed_Burg_ha_Min': 4515, 'Farmland_to_Feed_Burg_ha_Max': 9030, 'Urban_Area_Burg_ha_Min': 11, 'Urban_Area_Burg_ha_Max': 23}"
9,10,Tajajar,Naval,1,13042,"{'Farmer': 2898, 'Fisherman': 3381, 'Hunter': 483, 'Craftsman': 1932, 'Tradesman': 2415, 'Churchman': 0, 'Clerk': 966, 'Soldier': 966}",14,"{'Farmer': 3, 'Fisherman': 4, 'Hunter': 0, 'Craftsman': 2, 'Tradesman': 3, 'Churchman': 0, 'Clerk': 1, 'Soldier': 1}","{'Net_Food': 4.0, 'Net_Gold': 4.0}","{'Farmland_to_Feed_Burg_ha_Min': 13042, 'Farmland_to_Feed_Burg_ha_Max': 26084, 'Urban_Area_Burg_ha_Min': 33, 'Urban_Area_Burg_ha_Max': 65}"
